Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Deutsche Hypothekenbank AG,NORDLD,0.3,2026-07-30 00:00:00,2019-07-30,DE000DHY5041,DEDHY504=,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,29542446,Investment Grade,Yes,Mortgage Banking,Retail & Mortgage Banks,Germany,6162,,False,2019-07-09
BNP Paribas (Taipei Branch),BNPPT,0.8,2026-07-31 00:00:00,2019-07-31,TW000G138010,TWG13801=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,34120376,,Yes,Banking,Corporate Banks,Taiwan,6081,Eligible Green Projects,False,2019-07-30
Telekosang Hydro One Sdn Bhd,TELHY,4.95,2026-08-06 00:00:00,2019-08-06,MYBVK1901522,MYSUK190152=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,4813477,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4931,,False,2019-08-06
Acciona Financiacion Filiales SAU,ANAFN,1.517,2026-08-06 00:00:00,2019-08-06,XS2036691868,ES203669186=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,78464738,,Yes,Financial - Other,Corporate Financial Services (NEC),Spain,6799,Eligible Green Projects,False,2019-08-05
US International Development Finance Corp,DFC,0.35933695,2026-08-15 00:00:00,2015-11-04,US690353K228,690353K22=FINR,US Dollar,United States,Agency,Certificate of Participation,Other / Complex Floating Rate,37600000,,Yes,Agency,,United States,9721,Energy Efficiency,False,2015-10-30
Japan Railway Construction Transport and Technology Agency,JRCTT,0.03,2026-08-28 00:00:00,2019-08-29,JP354565AK85,JP01291295=,Japanese Yen,Japan,Agency,Zaito Bond,Plain Vanilla Fixed Coupon,94117647,Investment Grade,Yes,Agency,"Passenger Transportation, Ground & Sea (NEC)",Japan,9621,,False,2019-08-23
Kommunalbanken AS,KOMBK,0.125,2026-08-28 00:00:00,2019-08-28,XS2047497289,NO204749728=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,342110364,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Norway,6159,Clean Transport,False,2019-08-22
Stockholm Exergi Holding AB (publ),STEXE,0.893,2026-09-11 00:00:00,2019-09-11,SE0012193829,SE0012193829=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,182458861,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),Sweden,4911,General Purpose,False,2019-09-09
Sparebank 1 SMN,MING,0.125,2026-09-11 00:00:00,2019-09-11,XS2051032444,NO205103244=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Norway,6021,Energy Efficiency,True,2019-09-04
KfW,KFW,0.875,2026-09-15 00:00:00,2019-07-30,XS2034715305,DE203471530=,British Pound,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,855792397,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2019-07-23
Nomura Research Institute Ltd,NOMRS,0.25,2026-09-16 00:00:00,2016-09-16,JP376280AG96,JP00034307=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,94117647,,Yes,Service - Other,IT Services & Consulting (NEC),Japan,7379,Green Construction,True,2016-09-09
EDP Finance BV,EDPPF,0.375,2026-09-16 00:00:00,2019-09-16,XS2053052895,PT205305289=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,709018718,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Netherlands,6726,Energy Efficiency,False,2019-09-10
ENEL Finance International NV,ENEIL,1.125,2026-09-16 00:00:00,2018-01-16,XS1750986744,IT175098674=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1477122329,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Netherlands,6726,Energy Efficiency,False,2018-01-01
PostNL NV,PTNL,0.625,2026-09-23 00:00:00,2019-09-23,XS2047619064,NL204761906=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Transportation - Other,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",Netherlands,4215,Clean Transport,True,2019-09-16
Raiffeisen Bank International AG,RBIV,0.375,2026-09-25 00:00:00,2019-09-25,XS2055627538,AT205562753=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Banking,Banks (NEC),Austria,6029,Clean Transport,True,2019-09-23
China Energy Conservation and Environmental Protection Group Co Ltd,SASAEJ,3.55,2026-09-26 00:00:00,2016-09-23,CND10000L1P9,CN136715SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,219619326,,Yes,Utility - Other,Renewable Energy Equipment & Services (NEC),China (Mainland),4911,Eligible Green Projects,False,2016-09-22
KfW,KFW,0.5,2026-09-28 00:00:00,2018-10-24,XS1897340854,DE189734085=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1181697863,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2018-10-17
Banco Santander SA,SAN,0.3,2026-10-04 00:00:00,2019-10-04,XS2063247915,ES206324791=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1181697863,Investment Grade,Yes,Banking,Banks (NEC),Spain,6021,Energy Efficiency,True,2019-10-01
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.48,2026-10-06 00:00:00,2017-10-06,MYBVM1703023,MYSUK170302=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Humlegarden Fastigheter AB,HUMLG,1.512,2026-10-07 00:00:00,2019-10-07,SE0012676534,SE0012676534=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Home Builders,Land Division & Subdivision,Sweden,6531,Eligible Green Projects,False,2019-09-30
SR Boligkreditt AS,SRBANB,0.01,2026-10-08 00:00:00,2019-10-08,XS2063288190,NO206328819=,Euro,Eurobond Market,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Financial - Other,Investment Banking & Brokerage Services (NEC),Norway,6799,Eligible Green Projects,False,2019-10-01
Electricite de France SA,EDF,1,2026-10-13 00:00:00,2016-10-13,FR0013213295,FR0013213295=,Euro,France,Agency,Bond,Plain Vanilla Fixed Coupon,2067971261,Investment Grade,Yes,Agency,Multiline Utilities,France,4911,Alternative Energy,True,2016-10-06
Energy Absolute PCL,EAXX,2.744,2026-10-16 00:00:00,2019-10-16,TH3545036A00,EA26OA=TS,Thai Baht,Thailand,Corporate,Bond,Plain Vanilla Fixed Coupon,95663265,,Yes,Oil and Gas,Renewable Utilities,Thailand,2911,Alternative Energy,True,2019-09-25
Terna Energy Finance SA,TENZZT,2.6,2026-10-22 00:00:00,2019-10-22,GRC813119AD1,GRC813119AD1=,Euro,Greece,Corporate,Bond,Plain Vanilla Fixed Coupon,177254679,,Yes,Financial - Other,Renewable Utilities,Greece,6159,Eligible Green Projects,False,2019-10-11
Eidsiva Energi AS,EIDEN,2.4,2026-10-22 00:00:00,2019-10-22,NO0010866619,NO1086661=,Norwegian Krone,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,55972864,,Yes,Utility - Other,Renewable Utilities,Norway,4911,,False,2019-10-14
Sparebanken Sor Boligkreditt AS,SORRB,0.01,2026-10-26 00:00:00,2019-10-24,XS2069304033,NO206930403=,Euro,Eurobond Market,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Financial - Other,Retail & Mortgage Banks,Norway,6799,Eligible Green Projects,False,2019-10-17
Iberdrola Finanzas SA,IBEFN,1.25,2026-10-28 00:00:00,2018-06-28,XS1847692636,ES184769263=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Spain,6726,Energy Efficiency,False,2018-06-21
Argosy Property Ltd,ARGZ,2.9,2026-10-29 00:00:00,2019-10-29,NZARGDT002C4,NZARG1026=,New Zealand Dollar,New Zealand,Corporate,Note,Plain Vanilla Fixed Coupon,66899924,,Yes,Real Estate Investment Trust,Commercial REITs (NEC),New Zealand,6798,,True,2019-10-18
Cooperatieve Rabobank UA,RABO,0.25,2026-10-30 00:00:00,2019-10-30,XS2068969067,NL206896906=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Banking,Banks (NEC),Netherlands,6029,Eligible Green Projects,False,2019-10-22
MTR Corporation CI Ltd,MTRCNC,2.5,2026-11-02 00:00:00,2016-11-02,XS1509084775,HK150908477=,US Dollar,Eurobond Market,Corporate,Bond,Plain Vanilla Fixed Coupon,600000000,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Cayman Islands,6799,Clean Transport,False,2016-10-24
NRW Bank,NRWBK,0.375,2026-11-17 00:00:00,2016-11-17,DE000NWB0AD8,DENWB0AD=,Euro,Germany,Agency,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Banks (NEC),Germany,6022,Clean Transport,False,2016-11-10
Oersted Wind Power TW Holding A/S,ORSTEW,0.92,2026-11-19 00:00:00,2019-11-19,TW000F156013,TWF15601=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,136481506,,Yes,Utility - Other,Independent Power Producers (NEC),Denmark,4939,Eligible Green Projects,False,2019-11-14
Vodafone Group PLC,VOD,0.9,2026-11-24 00:00:00,2019-05-24,XS2002017361,GB200201736=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Telecommunications,Wireless Telecommunications Services (NEC),United Kingdom,4899,Eligible Green Projects,True,2019-05-21
Ceetrus SA,AUMRCC,2.75,2026-11-26 00:00:00,2019-11-26,FR0013462728,FR208313231=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Financial - Other,Commercial Buildings,France,6799,Eligible Green Projects,False,2019-11-19
Nidec Corp,NIDEC,0.15,2026-11-27 00:00:00,2019-11-28,JP373480CKB0,JP00116594=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,188235294,,Yes,Electronics,Electrical Components & Equipment (NEC),Japan,3621,,True,2019-11-22
US International Development Finance Corp,DFC,0.115033,2026-12-15 00:00:00,2017-03-20,US690353T724,690353T72=TWEB,US Dollar,United States,Agency,Certificate of Participation,Fixed Margin over Index,28000000,,Yes,Agency,,United States,9721,Alternative Energy,False,2017-03-20
Delta 2 Energia SA,PTMIE,7.3754,2026-12-15 00:00:00,2017-05-11,BRPTMIDBS003,PTMI11=,Brazilian Real,Brazil,Corporate,Debenture,Plain Vanilla Fixed Coupon,8006604,,Yes,Utility - Other,Electric Utilities (NEC),Brazil,4911,Alternative Energy,False,2017-05-11
Nexity SA,NEXI,2.257,2026-12-20 00:00:00,2019-12-20,FR0013469996,FR0013469996=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,99262620,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",France,1531,,True,2019-12-19
Alperia SpA,ALPER,2.5,2026-12-23 00:00:00,2016-12-23,XS1540956593,IT154095659=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,177254679,,Yes,Utility - Other,Renewable Energy Equipment & Services (NEC),Italy,4911,Energy Efficiency,False,2016-12-23
Pnb Merdeka Ventures Sdn Bhd,YPBTRM,4.78,2026-12-28 00:00:00,2019-06-28,MYBVL1901074,MYSUK190107A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,15643802,,Yes,Financial - Other,Corporate Financial Services (NEC),Malaysia,6726,Project Finance,False,2019-06-26
Segi Astana Sdn Bhd,WCTES,5.6,2027-01-08 00:00:00,2018-01-08,MYBUM1800102,MYUM180010=,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,6016847,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Fibria Overseas Finance Ltd,FIBRCO,5.5,2027-01-17 00:00:00,2017-01-17,US31572UAF30,31572UAF3=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,700000000,Investment Grade,Yes,Financial - Other,Pulp Mills,Cayman Islands,6799,Eligible Green Projects,False,2017-01-11
Sinar Kamiri Sdn Bhd,SIKAM,5.52,2027-01-29 00:00:00,2018-01-30,MYBVM1800563,MYSUK180056=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Mudaraba),Plain Vanilla Fixed Coupon,3610108,,Yes,Utility - Other,Renewable Utilities,Malaysia,4911,General Purpose,False,2018-01-26
Indian Renewable Energy Development Agency Ltd,IREDA,7.22,2027-02-06 00:00:00,2017-02-06,INE202E08011,INIREDA0627A=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,83056478,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2017-02-03
Welltower Inc,WELL,2.7,2027-02-15 00:00:00,2019-12-16,US95040QAK04,95040QAK0=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Real Estate Investment Trust,Healthcare REITs,United States,6798,Eligible Green Projects,True,2019-12-09
Indian Renewable Energy Development Agency Ltd,IREDA,7.6,2027-02-23 00:00:00,2017-02-23,INE202E08029,INIREDA2327=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,29954795,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2017-02-22
Pasukhas Green Assets Sdn Bhd,PASUK,5.5,2027-02-26 00:00:00,2019-02-28,MYBVL1900407,MYSUK190040A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,481347,,Yes,Financial - Other,Renewable Utilities,Malaysia,6726,Refinance/Financing expenses,False,2019-02-27
Indian Renewable Energy Development Agency Ltd,IREDA,7.85,2027-03-06 00:00:00,2017-03-06,INE202E08037,INIREDA0627B=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,110288110,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2017-03-03
Indian Renewable Energy Development Agency Ltd,IREDA,8.12,2027-03-24 00:00:00,2017-03-24,INE202E07245,INIREDA2417=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,27231632,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2017-03-23
Indian Renewable Energy Development Agency Ltd,IREDA,8.05,2027-03-29 00:00:00,2017-03-29,INE202E07252,INIREDA2927=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,68079080,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2017-03-28
Abengoa Greenfield SA,ABGABG,0,2027-03-31 00:00:00,2014-09-30,XS1113021031,ES111302103=,Euro,Eurobond Market,Corporate,Note,Fixed Then Zero Coupon,313149933,,Yes,Financial - Other,Construction & Engineering (NEC),Spain,6799,Energy Efficiency,False,2014-09-24
Abengoa Greenfield SA,ABGABG,0,2027-03-31 00:00:00,2014-09-30,US00289WAA99,00289WAA9=,US Dollar,United States,Corporate,Note,Fixed Then Zero Coupon,300000000,,Yes,Financial - Other,Construction & Engineering (NEC),Spain,6799,Energy Efficiency,False,2014-09-24
Abengoa Greenfield SA,ABGABG,0,2027-03-31 00:00:00,2014-09-30,USE00020AA01,ES111642958=,US Dollar,Eurobond Market,Corporate,Note,Fixed Then Zero Coupon,300000000,,Yes,Financial - Other,Construction & Engineering (NEC),Spain,6799,Energy Efficiency,False,2014-09-24
Abengoa Greenfield SA,ABGABG,0,2027-03-31 00:00:00,2014-09-30,XS1113024563,ES111302456=,Euro,United States,Corporate,Note,Fixed Then Zero Coupon,313149933,,Yes,Financial - Other,Construction & Engineering (NEC),Spain,6799,Energy Efficiency,False,2014-09-24
Inversiones CMPC SA,CARXI,4.375,2027-04-04 00:00:00,2017-04-04,USP58072AL66,CL159552268=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Paper Mills & Products,Chile,6799,Eligible Green Projects,False,2017-03-30
Inversiones CMPC SA,CARXI,4.375,2027-04-04 00:00:00,2017-04-04,US46128MAJ09,46128MAJ0=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Paper Mills & Products,Chile,6799,Eligible Green Projects,False,2017-03-30
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.52,2027-04-06 00:00:00,2017-10-06,MYBVN1703039,MYSUK170303=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
ICPF Finance Pty Ltd,ICPFF,4.25,2027-04-21 00:00:00,2017-04-21,AU3CB0243889,AUINV0427=,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,72739969,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Australia,6799,Green Construction,False,2017-04-12
CPI Property Group SA,OEG,1.625,2027-04-23 00:00:00,2019-10-28,XS2069407786,LU206940778=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Financial - Other,Commercial REITs (NEC),Luxembourg,6799,Eligible Green Projects,True,2019-10-17
Sogn og Fjordane Energi AS,SOGFJ,2.85,2027-04-26 00:00:00,2019-04-26,NO0010849987,NO1084998=,Norwegian Krone,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,22389145,,Yes,Utility - Other,Electric Utilities (NEC),Norway,4911,,False,2019-04-10
UITM Solar Power Sdn Bhd,UITMPS,5.7,2027-04-27 00:00:00,2018-04-27,MYBVM1801702,MYSUK180170=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,3610108,,Yes,Gas Utility - Pipelines,Electric Utilities (NEC),Malaysia,4911,,False,2018-04-25
Adif Alta Velocidad,MNDEFA,0.95,2027-04-30 00:00:00,2019-04-25,ES0200002048,ES20000204=,Euro,Spain,Agency,Bond,Plain Vanilla Fixed Coupon,709018718,Investment Grade,Yes,Agency,Railway Construction,Spain,4813,,False,2019-04-11
MidAmerican Energy Co,BRKMFC,3.1,2027-05-01 00:00:00,2017-02-01,US595620AQ82,595620AQ8=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,375000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Eligible Green Projects,False,2017-01-23
Kaiser Foundation Hospitals,KISERH,3.15,2027-05-01 00:00:00,2017-05-03,US48305QAC78,48305QAC7=,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,575000000,Investment Grade,Yes,Health Care Facilities,Healthcare Facilities & Services (NEC),United States,8062,Eligible Green Projects,False,2017-04-25
KfW,KFW,0.01,2027-05-05 00:00:00,2019-05-22,XS1999841445,DE199984144=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,4726791453,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2019-05-15
Orsted A/S,ORSTE,2.125,2027-05-17 00:00:00,2019-05-16,XS1997070781,DK199707078=,British Pound,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,460811291,Investment Grade,Yes,Service - Other,Multiline Utilities,Denmark,4911,Eligible Green Projects,True,2019-05-09
Kommunekredit,KMUNK,0.75,2027-05-18 00:00:00,2017-06-01,XS1622415674,DK162241567=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Denmark,6159,Alternative Energy,False,2017-05-23
RZD Capital PLC,RZDCP,2.2,2027-05-23 00:00:00,2019-05-23,XS1843437036,RU184343703=,Euro,Eurobond Market,Corporate,Loan Participation Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Ireland,6799,Eligible Green Projects,False,2019-05-16
Vesteda Finance BV,VSTDAV,1.5,2027-05-24 00:00:00,2019-05-24,XS2001183164,NL200118316=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Financial - Other,"Real Estate Rental, Development & Operations (NEC)",Netherlands,6799,Eligible Green Projects,False,2019-05-16
Regie Autonome des Transports Parisiens EPIC,RATP,0.875,2027-05-25 00:00:00,2017-06-29,FR0013264488,FR0013264488=,Euro,France,Agency,Bond,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Inter-Modal Passenger Transportation,France,4111,Clean Transport,False,2017-06-21
TenneT Holding BV,TNETH,1.75,2027-06-04 00:00:00,2015-06-04,XS1241581096,NL124158109=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Utility - Other,Electrical Transmission & Grid Equipment,Netherlands,4931,Energy Efficiency,False,2015-05-28
Grupo Rotoplas SAB de CV,AGUA,8.65,2027-06-16 00:00:00,2017-06-28,MX91AG050018,AGUA172X=,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Plain Vanilla Fixed Coupon,185018154,,Yes,Consumer Products,Environmental Services & Equipment (NEC),Mexico,9511,Water & Sewer,False,2017-06-27
Apple Inc,AAPL,3,2027-06-20 00:00:00,2017-06-20,US037833CX61,037833CX6=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000,Investment Grade,Yes,Electronics,Phones & Smart Phones,United States,3571,Energy Efficiency,True,2017-06-13
Engie SA,ENGIE,0.375,2027-06-21 00:00:00,2019-06-21,FR0013428489,FR0013428489=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Eligible Green Projects,True,2019-06-14
MTR Corporation CI Ltd,MTRCNC,3.3,2027-06-28 00:00:00,2017-06-28,XS1637858546,HK163785854=,Australian Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,124385347,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Cayman Islands,6799,Clean Transport,False,2017-06-22
BNP Paribas SA,BNP,0,2027-06-28 00:00:00,2019-06-28,XS1956144239,FR195614423=,Euro,Eurobond Market,Corporate,Note,Zero Coupon,70901871,,Yes,Banking,Banks (NEC),France,6029,Eligible Green Projects,True,2019-02-27
Asja Ambiente Italia SpA,ASJAT,5.75,2027-06-29 00:00:00,2019-12-12,IT0005394868,IT000539486=MI,Euro,Italy,Corporate,Bond,Plain Vanilla Fixed Coupon,24224806,,Yes,Utility - Other,Renewable IPPs,Italy,4911,Energy Efficiency,False,2019-12-11
Cypark Ref Sdn Bhd,CYPRF,5.03,2027-06-30 00:00:00,2019-10-11,MYBVL1901983,MYSUK190198A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Construction & Engineering (NEC),Malaysia,4939,,False,2019-10-10
Hera SpA,HRA,0.875,2027-07-05 00:00:00,2019-07-05,XS2020608548,IT202060854=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Gas Utility - Local Distrib,Multiline Utilities,Italy,9511,Energy Efficiency,True,2019-06-26
REC Ltd,RECM,3.875,2027-07-07 00:00:00,2017-07-07,XS1641477119,IN164147711=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,450000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),India,9631,Energy Efficiency,True,2017-06-29
Ignitis Grupe AB,INGTR,2,2027-07-14 00:00:00,2017-07-14,XS1646530565,LT164653056=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Utility - Other,Nuclear Utilities,Lithuania,4931,Alternative Energy,False,2017-07-07
"Cape Town, City of",CAPET,10.17,2027-07-17 00:00:00,2017-07-17,ZAG000145376,ZAG000145376=TE,South African Rand,South Africa,Non-US Munis,Bond,Plain Vanilla Fixed Coupon,59757504,,Yes,Official and Muni,,South Africa,9311,Clean Transport,False,2017-07-12
Berlin Hyp AG,EWRSFY,0.01,2027-07-19 00:00:00,2019-07-17,DE000BHY0GL4,DEBHY0GL=,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Retail & Mortgage Banks,Germany,6029,,False,2019-07-10
Tadau Energy Sdn Bhd,KGYEYT,5.6,2027-07-27 00:00:00,2017-07-27,MYBVN1702155,MYSUK170215=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,4813477,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,Project Finance,False,2017-07-27
BKW AG,BKWB,0.25,2027-07-29 00:00:00,2019-07-29,CH0487087295,CH48708729=,Swiss Franc,Switzerland,Corporate,Bond,Plain Vanilla Fixed Coupon,218364450,,Yes,Utility - Other,Electric Utilities (NEC),Switzerland,4911,,True,2019-07-01
Telekosang Hydro One Sdn Bhd,TELHY,5,2027-08-06 00:00:00,2019-08-06,MYBVL1901538,MYSUK190153=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4931,,False,2019-08-06
SSE PLC,SSE,1.375,2027-09-04 00:00:00,2018-09-04,XS1875284702,GB187528470=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,768103611,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United Kingdom,4911,Eligible Green Projects,True,2018-08-31
Kuntarahoitus Oyj,KITUS,0.75,2027-09-07 00:00:00,2017-10-03,XS1692485912,FI169248591=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Commercial Loans,Finland,6159,Clean Transport,False,2017-09-26
Iberdrola Finanzas SA,IBEFN,1.25,2027-09-13 00:00:00,2017-09-13,XS1682538183,ES168253818=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Spain,6726,Energy Efficiency,False,2017-09-06
NRW Bank,NRWBK,0.5,2027-09-13 00:00:00,2017-09-13,DE000NWB0AE6,DENWB0AE=,Euro,Germany,Agency,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Banks (NEC),Germany,6022,Energy Efficiency,False,2017-09-05
Icade SA,ICAD,1.5,2027-09-13 00:00:00,2017-09-13,FR0013281755,FR0013281755=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,709018718,Investment Grade,Yes,Home Builders,Diversified REITs,France,1531,Eligible Green Projects,True,2017-09-04
